Name,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,solubility_mg_L
"N,N,N-trimethyloctadecan-1-aminium bromide",392.51000000000016,3.9581000000000017,102.44540000000008,23.0,0.0,0.0,2.0,17.0,142.0,0.0,0.0,0.0,0.0,0.0,158.52060058500794,0.0,94.99999999541454
Benzo[cd]indol-2(1H)-one,169.18299999999996,2.405500000000001,51.90120000000002,13.0,1.0,1.0,2.0,0.0,62.0,2.0,0.0,1.0,3.0,29.1,75.18356289575134,2.5829963936570306,94.09999999895456
4-chlorobenzaldehyde,140.569,2.1525,36.839500000000015,9.0,1.0,0.0,2.0,1.0,46.0,1.0,0.0,0.0,1.0,17.07,58.261133560819005,3.009781947786601,935.0000000531328
"zinc bis[2-hydroxy-3,5-bis(1-phenylethyl)benzoate]",756.2260000000003,8.11610000000001,200.71059999999954,53.0,6.0,2.0,7.0,10.0,264.0,6.0,0.0,0.0,6.0,120.72,323.75543369874885,2.322962880266304e-07,90.00000000700764
"4-({4-[bis(oxiran-2-ylmethyl)amino]phenyl}methyl)-N,N-bis(oxiran-2-ylmethyl)aniline",422.52500000000015,2.4854000000000003,119.07600000000004,31.0,6.0,0.0,6.0,12.0,164.0,2.0,4.0,4.0,6.0,56.6,183.18326845703427,1.0844273169718197,9.199999999538838
vinyltoluene,118.179,2.638020000000001,41.27000000000002,9.0,0.0,0.0,0.0,1.0,46.0,1.0,0.0,0.0,1.0,0.0,55.83662643050253,3.0707606817835664,89.00000000557172
3-(3-ethylcyclopentyl)propanoic acid,170.25199999999995,2.6775,47.99180000000002,12.0,1.0,1.0,2.0,4.0,70.0,0.0,1.0,1.0,1.0,37.3,73.97365475610957,2.1458390567501127,88.09999999735113
"11,16,17,21-tetrahydroxypregna-1,4-diene-3,20-dione",376.4490000000001,0.5283999999999995,96.43820000000002,27.0,6.0,4.0,6.0,2.0,148.0,0.0,3.0,4.0,4.0,115.06000000000002,158.13554184614785,1.7769779303753035,814.9999999575252
bis(4-fluorophenyl)methanone,218.202,3.195800000000001,56.232500000000016,16.0,1.0,0.0,3.0,2.0,80.0,2.0,0.0,0.0,2.0,17.07,91.34603234585384,2.315627695408683,8.75399999915359
1-[2-(benzoyloxy)propoxy]propan-2-yl benzoate 1-{[1-(benzoyloxy)propan-2-yl]oxy}propan-2-yl benzoate 2-{[1-(benzoyloxy)propan-2-yl]oxy}propyl benzoate,342.391,3.4972000000000016,93.50200000000004,25.0,5.0,0.0,5.0,10.0,132.0,2.0,0.0,0.0,2.0,61.83000000000001,147.071714129342,1.447049640012117,8.689999999112947
4-(dimethylamino)benzaldehyde,149.19299999999996,1.5651,46.15650000000002,11.0,2.0,0.0,2.0,2.0,58.0,1.0,0.0,0.0,1.0,20.31,66.44758523293392,2.90982279990154,778.0000000402935
2-methyl-1-phenylpropan-2-yl acetate,192.25800000000004,2.570800000000001,55.991000000000035,14.0,2.0,0.0,2.0,3.0,76.0,1.0,0.0,0.0,1.0,26.3,84.89612313542726,2.6338700234273658,774.8799999412488
"2,3-dimethylphenol; 2,4-dimethylphenol; 2,5-dimethylphenol; 2,6-dimethylphenol; 3,4-dimethylphenol; 3,5-dimethylphenol",733.0020000000003,12.05423999999998,225.48479999999927,54.0,6.0,6.0,6.0,0.0,288.0,6.0,0.0,0.0,6.0,121.38,322.89073780339857,3.2399999906711136e-07,7669.999999446388
2-(4-tert-butylphenoxymethyl)oxirane,206.285,2.761700000000001,60.377000000000045,15.0,2.0,0.0,2.0,3.0,82.0,1.0,1.0,1.0,2.0,21.76,91.20725722575777,1.961588002134354,76.59999999901206
5-methoxy-1-[4-(trifluoromethyl)phenyl]pentan-1-one,260.255,3.7048000000000014,61.50150000000003,18.0,2.0,0.0,5.0,6.0,100.0,1.0,0.0,0.0,1.0,26.3,103.75767145860256,2.542670430809308,74.35999999942517
"(2E)-3,7-dimethylocta-2,6-dien-1-ol",154.253,2.6714000000000016,49.50780000000003,11.0,1.0,1.0,1.0,4.0,64.0,0.0,0.0,0.0,0.0,20.23,69.43875774522651,3.54438743137085,737.2800000377074
